Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1211792143871811586	@tankgeog	2019-12-31 05:02:15	Do you not think that Global Climate change is a result of tropical deforestation? If we continue to cut down the rainforest, global climate is affected and green energy usage in the west is irrelevant. There needs to be a moratorium on rainforest decline.	0	Tweet
1211789584117436416	@bellamheaney	2019-12-31 04:52:05	@ GretaThunberg thank you for helping change the global stance on climate change. So many people are so blind to issues that will affect us all.	0	Tweet
1211786181077327872	@CheeseMongler	2019-12-31 04:38:34	Imagine a world where the person whining about climate change gets front page of time magazine and the people fixing it are nobodies	0	Tweet
1211785957982257153	@BarbaraCarol	2019-12-31 04:37:40	@ GretaThunberg Says She “Wouldn’t Have Wasted My Time” Talking Climate Change with Trump .. @ potus has no interest in # ClimateChange as there's no money to be made and great financial losses in fossil fuels & he's ignorant & uneducated. # trumphttps://flip.it/z6omb5	0	Tweet
1211782869904953346	@MasterChiefSW	2019-12-31 04:25:24	@ GretaThunberg You won't go to Brazil, India, China, & tell them to stop causing climate change because they would arrest you and throw you in prison.	0	Tweet
1211772004719828993	@PTaylorEdwards	2019-12-31 03:42:14	Some years ago, @ ABCNetwork produced a prescient animated documentary presented by @ BobWoodruff. It was called Earth 2100. It traced the life of an American family as climate change accelerated over this century. It is worth spending time viewing. https://bit.ly/357NzrC	0	Tweet
1211765454357827584	@EmmaME88	2019-12-31 03:16:12	@ GretaThunberg did u know this...its a real issue in life...climate change has been happening for millions of years... go back to school and stop freaking kids out pic.twitter.com/42LKeN0Ove	0	Tweet
1211747628830068736	@WatcherPlanet	2019-12-31 02:05:22	@ GretaThunberg I'm a human supercomputer. I solve all the problems. Please let's work together. We build the Golden Age brick by brick. Focusing on climate change is like running in a hamster wheel. I have the solutions.	0	Tweet
1211746689435852801	@CharlesCarroll1	2019-12-31 02:01:38	@ GretaThunberg “I wouldn't have wasted my time talking to Trump about climate change.” Good for you, Ms Thunberg. As Mark Twain said, “Never argue with a fool, onlookers may not be able to tell the difference.”	0	Tweet
1211732472163160064	@Bowring10536146	2019-12-31 01:05:08	What a load of rubbish there will be 5 to tell you climate change is right and 6 to tell you it's wrong...get a grip..	0	Tweet
1211728672534781952	@Armanhammer76	2019-12-31 00:50:03	@ BernieSanders will be best on climate change you should advocate for him if you care about the environment # PresidentSanders # PresidentSanders # PresidentSanders he is the champion of the people	0	Tweet
1211722010134487041	@lethalshirl	2019-12-31 00:23:34	@ GretaThunberg is 100% my person of 2019. She has woken so many people to the issues of climate change - more than any politician. An incredible young woman & can’t wait to hear her speak in Glasgow 2020. Go Greta! # ClimateChange # wakeupworldpic.twitter.com/JOrAKO5qoh	0	Tweet
1211701221259653120	@jaycuboss	2019-12-30 23:00:58	@ GretaThunberg instead of dismissing the idea of a meeting with @ realDonaldTrump out of hand, you should challenge him to a 1v1 meeting to discuss climate change. Say that if he won’t take the meeting it’s because he’s ”too scared”. Puts him on his heels.	0	Tweet
1211700873862303744	@gdiloren	2019-12-30 22:59:35	I listened to the Winston Churchill...of Climate change war resistance! Bravo BBC!!! You are the masters!🙂👍	0	Tweet
1211699505860612096	@hjrivera1	2019-12-30 22:54:09	@ GretaThunberg , you should consider this problem as a big part of what is the cause for the climate change: https://twitter.com/tlc_cn/status/1211340216277057537 …	0	Retweet
1211693942292570114	@kiki_penn	2019-12-30 22:32:02	@ GretaThunberg “wouldn't have wasted my time' talking to President Trump about climate change - ABC News - via @ ABC https://abcn.ws/37k3dBB AMERICA, when a Teenager says she wouldn’t waste her time talking to Donald Trump, that should tell you something. # ClimateEmergency	0	Tweet
1211693007654670336	@dbodybalancer	2019-12-30 22:28:19	@ GretaThunberg Please read Andrew Yang’s climate change plan. He is the ONLY candidate who supports Thorium nuclear energy. Please endorse # AndrewYanghttps://www.yang2020.com/blog/climate-change/ …	1	Tweet
1211691273893109766	@Trikkynikky1	2019-12-30 22:21:26	She shouldn't bother. According to one of the climate change cultists it's game over on Wednesday. pic.twitter.com/JfBFGvIJZl	0	Tweet
1211684844024918016	@romero_tristen	2019-12-30 21:55:53	Climate Change doesn't exist	0	Tweet
1211680805845532672	@Mere_Earthling	2019-12-30 21:39:50	I listened and vow to continue taking actions to combat climate change.	0	Tweet
1211679135493439488	@ignat_michael	2019-12-30 21:33:12	So sad! When you ask politicians if we will be able to mitigate the worst of climate change they are almost unanimously optimistic, but when you ask climate scientist they are virtually all pessimistic, I think this reflects the actual understanding of climate change.	0	Tweet
1211673956161327105	@yona_isaya	2019-12-30 21:12:37	Climate change is a hoax	0	Tweet
1211673388734930950	@Corneliusschul7	2019-12-30 21:10:22	Denial of science and republican presidents is synonymous, democrats and republicans; it is like doctors and which doctors? Creationism and denial of man-made climate change, the repeal of environmental safety, the Republican agenda, money, think about it?	0	Tweet
1211665942456848385	@Najeeb146035428	2019-12-30 20:40:47	Acid Rain > the Ice Age > Global Warming > Climate change propaganda and nothing new as Democrats have been using our weather to put fear in weak minded people for political gain.	0	Tweet
1211662309128470528	@ClarkLiliane	2019-12-30 20:26:20	Happy New Year Greta! In 2020, please continue to advocate for climate change, you have been awaking so many you can’t even imagine! This is the path for a real change. Thanks for being there for our planet and for helping me remember the environmental activist I was.	1	Tweet
1211651609668837376	@Craigsmiffy1	2019-12-30 19:43:49	Go bk to school and stop throwing fake climate change down people's throat.	0	Tweet
1211649999244795905	@realjrmorales	2019-12-30 19:37:25	Go back to school enjoy being a teenager and being a talking head for the Democrat Party climate change is a hoax	0	Tweet
1211640475700072457	@Ozog33John	2019-12-30 18:59:35	@ GretaThunberg Fed up with hearing and seeing you on the media. Irritating ad nauseum. You are a spoilt little brat who has done more to damage climate change than anyone else. Go back to school and stop being manipulated by adults.	0	Tweet
1211639905744510981	@MichaelVine141	2019-12-30 18:57:19	ALL of Australia is above 40 degrees today, tell that to the Climate Change Deniers :(	0	Tweet
1211637102280097793	@chrismlloyd_72	2019-12-30 18:46:10	@ GretaThunberg The existential threat to the planet is over population, not climate change. You as part of an explosive population are part of the problem. The planet is cold. Look back 650 mill' years at the relationship between temp and Co2. We need Co2. You are being mislead	0	Tweet
1211626702792798208	@nmerrittsr	2019-12-30 18:04:51	I’m sorry that you have bought into the lies that climate change is going to kill us all. The climate has always been changing for billions of years. People didn’t do it.	0	Tweet
1211626297723670529	@jomic75	2019-12-30 18:03:14	You shouldn't deny science if you claim to be using it for your argument Science shows climate changes but is not an emergency It's natural climate change that has happened many times over several billion years To dent that is to deny science	0	Tweet
1211624087426097152	@SinderMike	2019-12-30 17:54:27	Thanks for providing an intelligent news source and conversation on climate change.	0	Tweet
1211623639818194944	@SidSsaxena	2019-12-30 17:52:41	@ GretaThunberg Always accept nature. Go to school and learn something. The real reason of the climate change is 8 billion people.our earth can't support them. The climate is trying to reduce the number of people on earth. Let it.	0	Tweet
1211618243842134024	@artohara	2019-12-30 17:31:14	NASA admits that climate change occurs because of changes in Earth’s solar orbit, and NOT because of SUVs and fossil fuels... https://www.newstarget.com/2019-08-30-nasa-admits-climate-change-not-caused-by-suvs-fossil-fuels.html … Don’t give governments another avenue to screw more money out of you for politicians & their cronies own use! # retweet	0	Tweet
1211617145978621957	@RameshB20615217	2019-12-30 17:26:53	An excellent program, Greta! Thanks for your leadership on climate change.	1	Tweet
1211614595669991424	@_SarahElla_	2019-12-30 17:16:44	Sadly the rich and the politicians think it costs too much to fight climate change. They rather exploit the planet while theyre still alive. After all, its not them but your generation that will suffer most from this. # FightClimateChange	0	Tweet
1211604074233286662	@Markpolo29	2019-12-30 16:34:56	Sad to see adults use a handicapped child to push a false narritive. If you go back in history since 1960 and look at all the Climate Change predictions not one came true. They were all hoaxes just like your predictions. If this is what makes you feel useful and normal it’s sad.	0	Tweet
1211595367550205954	@Codename__Angel	2019-12-30 16:00:20	The book I will be releasing later this year. This will be a climate change thriller. pic.twitter.com/ED5XdqCLag	0	Tweet
1211594675011883014	@iioannoulbs	2019-12-30 15:57:35	Fascinating to see all the morons coming out of the woodwork to attack @ BBCNews for inviting @ GretaThunberg to host # r4today. These climate denying idiots & so called sceptics are accomplices to crimes against humanity. There are no two sides here. Climate change is a fact.	15	Tweet
1211594141576171521	@Lyramydog	2019-12-30 15:55:28	Thanks for your leadership on climate change. How do the wildfires in Australia effect the C02 bucket? Do we have less time to act?	1	Tweet
