Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1189678378887995392	@W6UNX	2019-10-31 04:30:03	You need to move back home and attend school. Come back when you are bit more educated; climate change will still be here for you!	0	Tweet
1189677657258123266	@ChristineJameis	2019-10-31 04:27:11	@ GretaThunberg @ piersmorgan Is it cutting through to you yet? Climate change is real. Your house is burning. # ExtinctionRebellion # ClimateChange https://twitter.com/MyArrse/status/1189676725246017536 …	0	Tweet
1189676913733881856	@JHWhitley	2019-10-31 04:24:14	What do you think of the Hydrogen Economy as an answer to climate change? This is my highest objective. As you can imagine, corporate lobbyist are not lining up to sponsor me.	0	Tweet
1189663563843018752	@JosephM80134156	2019-10-31 03:31:11	How much money are you being paid by the big businesses to promote this life climate change	0	Tweet
1189660176384774144	@redmayne_robert	2019-10-31 03:17:43	Thank You Greta....👋💚💚 We Hope COP25 Will Be Hosted Somewhere Else....This Is Vital For Our Planets Continued Climate Change Discussions...🌎 Wishing You Continued Safe Travels...🙏🕊️💚 Take Care....💚💚🌎	2	Tweet
1189658869447806976	@ihavemedoots	2019-10-31 03:12:31	All caused by you and the false Climate change fraudsters.	0	Tweet
1189655166003425281	@sigloasesino	2019-10-31 02:57:48	You should visit Santiago anyway and lead a march for action towards climate change. Millions would join.	0	Tweet
1189652570853261313	@angels_messages	2019-10-31 02:47:30	Greta Thunburg,why don't you tell your people that your friend in Rome Pope Francis is the driving force behind your climate change Hoax.	0	Tweet
1189650844804882432	@El_Messija	2019-10-31 02:40:38	People of Chile are starving because of climate change maniacs. You @ GretaThunberg are the problem, not the answer. It's over, go to the school, white, privileged, rich girl.	15	Tweet
1189649986419675141	@acornejo27	2019-10-31 02:37:14	It would be great if you could still come to Chile! 🇨🇱 We need you to keep setting example for future generations about changes in our country’s policy on Climate Change. We would love to mobilize with you....as you can see we are experts! 😉 Safe travels to you! 🌎♻️	2	Tweet
1189648303035731968	@DavidsonRussell	2019-10-31 02:30:32	That’s good to hear, but the people of Santiago are not protesting about climate change and most of them have probably never heard of you, Greta.	0	Tweet
1189640793855803392	@lumidek	2019-10-31 02:00:42	Thanks for the good news. Finally, Chile cancelled COP25, a meeting of the climate alarmist crackpots, those unhinged whackodoodles who say that the world is threatened by "climate change". https://www.straitstimes.com/world/americas/chile-cancels-apec-summit-climate-meeting-in-santiago-amid-wave-of-protests …	0	Tweet
1189628771856457729	@TonyTTGriffiths	2019-10-31 01:12:56	What have you done to be offered this award? I see big companies tackling climate change more than you!	0	Tweet
