|normal|cleaned_tweets|no_clean|cleaned_score
0|Climate change is happening now. Denial is dangerous. http:// ofa.bo/2efZv0y|[]|5.409999999999999|
1|Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: http:// ofa.bo/2e3fRg6 #ActOnClimate|['supporters', 'up']|5.660000000000001|6.17
2|Climate change is real, but so is the progress we're making to #ActOnClimate . Let's keep it up. pic.twitter.com/GOFKXQblGJ|['progress', 'making']|5.423333333333333|6.75
3|"Wildfires in the next few decades could be ""unrecognizable"" to previous generations because of climate change : http:// ofa.bo/2dWNyOS"|[]|5.233333333333333|
4|Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: http:// ofa.bo/2dZNTRx #ActOnClimate|['supporters', 'up']|5.660000000000001|6.17
5|Support the bold steps we're taking against climate change . Say you're ready to #ActOnClimate : http:// ofa.bo/2dcUwww|['against', 'ready']|5.314545454545454|4.99
6|Climate change 's effects are devastating. Denying the science behind it does nothing to help. http:// ofa.bo/2d7ppaq #ActOnClimate|['science', 'nothing']|5.14|5.38
7|We can't sit idly by. Climate change is likely to threaten our national security we must act now. http:// ofa.bo/2crGwUg #ActOnClimate pic.twitter.com/CCFZdEYc8T|"[u""can't"", u'likely', u'our', u'act']"|5.382|5.484999999999999
8|Communities are already experiencing the effects of climate change  we can't afford not to act. Take a look: http:// ofa.bo/2d1OQbb pic.twitter.com/3BFbRDUXBv|"[u""can't"", u'afford', u'not']"|5.073333333333335|4.4799999999999995
9|Meaningful action on climate change can't wait. President Obama explains why in this @nytimes interview. http:// ofa.bo/2cH9trK|"[""can't""]"|5.28|3.42
10|We need to keep up efforts to fight climate change at every level locally, nationally, globally. #ActOnClimate pic.twitter.com/L10qdkgPDg|[u'up', u'fight']|5.1818181818181825|4.42
11|We must take bold steps now  climate change is already impacting millions of people. http:// ofa.bo/2czxiBK #ActOnClimate|[u'millions']|5.505999999999999|7.26
12|The Paris Climate Agreement is a big deal in the fight against climate change  and now, a big step closer to reality. http:// ofa.bo/2c20UYS|[u'big', u'deal', u'fight', u'against', u'big']|5.232|4.9719999999999995
