|normal|withouturl|no_clean|url_clean
0|In the weekly address, President Obama discusses what #Obamacare has done to improve health care. http:// ofa.bo/2ebbyAo|In the weekly address, President Obama discusses what #Obamacare has done to improve health care. http://  |5.68|5.68
1|Let's keep working to keep our economy on a better, stronger course. pic.twitter.com/bV2BVjyj7a|Let's keep working to keep our economy on a better, stronger course.  |5.626666666666667|5.626666666666667
2|The landmark #ParisAgreement enters into force today we must keep up the momentum to #ActOnClimate . http:// ofa.bo/2fn8oHC|The landmark #ParisAgreement enters into force today we must keep up the momentum to #ActOnClimate . http://  |5.331111111111111|5.507272727272727
3|The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. http:// ofa.bo/2e8XF5N #JobsReport|The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. http://   #JobsReport|5.3883333333333345|5.3883333333333345
4|There are a lot of plans out there. Check your options and lock in the one that's best for you: http:// ofa.bo/2eZtYDp #GetCovered|There are a lot of plans out there. Check your options and lock in the one that's best for you: http://   #GetCovered|5.446250000000001|5.446250000000001
5|The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: http:// ofa.bo/2feEipF|The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: http://  |5.503333333333334|5.503333333333334
6|Tens of millions of Americans have benefited from #Obamacare . Make sure you're one of them. #GetCovered pic.twitter.com/e1KoXcPtpU|Tens of millions of Americans have benefited from #Obamacare . Make sure you're one of them. #GetCovered  |5.566666666666666|5.566666666666666
7|Thanks to #Obamacare , quality health care is available to everyone. The marketplace is now open make sure you and your family #GetCovered . pic.twitter.com/0DDAhckcDW|Thanks to #Obamacare , quality health care is available to everyone. The marketplace is now open make sure you and your family #GetCovered .  |6.061428571428571|6.06
8|Community organizing never goes out of style. Shop now: http:// ofa.bo/2feFszZ pic.twitter.com/E56ofoU36i|Community organizing never goes out of style. Shop now: http://    |4.54|4.54
9|With #Obamacare , people can focus on treatment for pre-existing conditions without the fear of coverage being capped or denied. #GetCovered pic.twitter.com/QqCs6K3y2v|With #Obamacare , people can focus on treatment for pre-existing conditions without the fear of coverage being capped or denied. #GetCovered  |5.010000000000001|5.010000000000001
10|The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered . http:// ofa.bo/2f9F877 pic.twitter.com/uiA1EGZylU|The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered . http://    |5.518461538461538|5.518461538461538
11|Lions and Tiggers and bears! Oh my! #HappyHalloween pic.twitter.com/iU4fjBhi0Y|Lions and Tiggers and bears! Oh my! #HappyHalloween  |5.22|5.22
12|Usted y su familia merecen la tranquilidad de saber que est n cubiertos. El mercado de seguros abre ma ana. pic.twitter.com/9iRCkLRGZD|Usted y su familia merecen la tranquilidad de saber que est n cubiertos. El mercado de seguros abre ma ana.  |4.785714285714286|4.9239999999999995
13|Speak up in support of quality, affordable health care for all. http:// ofa.bo/2f5XyoV|Speak up in support of quality, affordable health care for all. http://  |6.014285714285714|6.014285714285714
14|There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less than $75 a month. pic.twitter.com/YixI8RXOdq|There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less than $75 a month.  |5.076470588235294|5.076470588235294
15|Open enrollment begins tomorrow make sure you and your loved ones #GetCovered . pic.twitter.com/2aak7Bt0s3|Open enrollment begins tomorrow make sure you and your loved ones #GetCovered .  |6.062857142857142|6.068888888888889
16|Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: http:// ofa.bo/2dP8GJo #DoYourJob|Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: http://   #DoYourJob|5.568|5.568
