|normal|cleaned_tweets|no_clean|cleaned_score
0|7. The badly flawed Paris Climate Agreement protects the polluters, hurts Americans, and cost a fortune. NOT ON MY WATCH! 8. I want crystal clean water and the cleanest and the purest air on the planet   we ve now got that!|[u'badly', u'hurts', u'crystal', u'clean', u'water', u'air', u'planet']|5.308000000000001|5.497142857142857
1|8 FACTS that #FakeNewsCNN will ignore in tonight s   Climate Forum |[u'will', u'ignore']|4.92|4.62
2|Plagiarism charge against Sleepy Joe Biden on his ridiculous Climate Change Plan is a big problem, but the Corrupt Media will save him. His other problem is that he is drawing flies, not people, to his Rallies. Nobody is showing up, I mean nobody. You can t win without people!|[u'against', u'ridiculous', u'big', u'will', u'save', u'problem', u'drawing', u'not', u'mean', u'win', u'without']|5.108148148148148|4.994545454545454
3|Patrick Moore, co-founder of Greenpeace:  The whole climate crisis is not only Fake News, it s Fake Science. There is no climate crisis, there s weather and climate all around the world, and in fact carbon dioxide is the main building block of all life.  @foxandfriends Wow!|[u'crisis', u'not', u'no', u'all', u'all']|5.168148148148149|4.452
4|President Obama was terrible on @60Minutes tonight. He said CLIMATE CHANGE is the most important thing, not all of the current disasters!|['terrible', 'most', 'important', 'not', 'all']|5.127692307692308|5.092
5|Among the lowest temperatures EVER in much of the United States. Ice caps at record size. Changed name from GLOBAL WARMING to CLIMATE CHANGE|['lowest']|5.160769230769231|3.3
6|For those that constantly say that  global warming  is now   climate change they changed the name. The name global warming wasn t working|[u'global']|5.39|6.0
7|Obama s China   climate   deal binds America with language of  will  curb emissions now while China only  intends  to curb in 2030. Bad deal!|[u'deal', u'language']|5.428333333333335|6.45
8|As ISIS and Ebola spread like wildfire, the Obama administration just submitted a paper on how to stop climate change (aka global warming).|['like', 'stop', 'global']|5.4350000000000005|5.706666666666666
9|Great article on so-called climate change, formerly known as global warming. http:// bit.ly/1uDs1w3|['global']|5.3125|6.0
10|It's late in July and it is really cold outside in New York. Where the hell is GLOBAL WARMING??? We need some fast! It's now CLIMATE CHANGE|['late', 'hell']|4.925333333333333|2.84
11|Tremendous cold wave hits large part of U.S. Lucky they changed the name from global warming to climate change - G.W. just doesn't work!|"['wave', 'large', 'global', ""doesn't""]"|5.300000000000001|5.505
12|""" @devhop : @realDonaldTrump they renamed it Climate Change so it could be devastating either way the temperature goes."""|[]|5.220000000000001|
13|They only changed the term to CLIMATE CHANGE when the words GLOBAL WARMING didn't work anymore. Come on people, get smart!|"['words', ""didn't""]"|5.131666666666668|5.02
14|"The man made "" climate change"" that our ""great"" president should be focused on is of the NUCLEAR variety brought upon us because of weakness!"|['our', 'focused', 'variety', 'us']|5.635789473684212|6.465
15|Russia is on the move in the Ukraine, Iran is nuking up & Libya is run by Al Qaeda, yet Obama is busy issuing   climate change  warnings.|[u'up']|5.275999999999999|6.14
16|""" @shaneandstamp : @realDonaldTrump your a respected businessman. Why do you deny peoples knowledge about climate change. You mean GLOBAL W"|['respected', 'you', 'deny', 'knowledge', 'mean']|5.5600000000000005|5.556
17|Congrats to Charles @krauthammer for his statements on climate change, formerly known as global warming!|['global']|5.389999999999999|6.0
18|""" @Nospin_43 : @realDonaldTrump @tan123 climate change allows them to stay on the gravy train whatever happens."""|['allows', 'gravy']|5.503636363636364|6.3100000000000005
19|""" @Michael_KSC : @realDonaldTrump @thedropkicks Whether Global Warming or Climate change. The fact is We didn't cause it. We cannot change it."|"[""didn't"", 'cannot']"|4.880000000000001|3.66
20|It's not climate change,it's global warming.Don't let the dollar sucking wiseguys change names midstream because the first name didn't work|"['not', 'global', 'dollar', 'first', ""didn't""]"|5.323999999999999|5.54
21|Do you believe this one - Secretary of State John Kerry just stated that the most dangerous weapon of all today is climate change. Laughable|['you', 'believe', 'most', 'dangerous', 'weapon', 'all', 'today']|5.274117647058823|5.3428571428571425
22|Don't let the GLOBAL WARMING wiseguys get away with changing the name to CLIMATE CHANGE because the FACTS do not let GW tag to work anymore!|['not']|5.176470588235294|3.86
23|Massive record setting snowstorm and freezing temperatures in U.S. Smart that GLOBAL WARMING hoaxsters changed name to CLIMATE CHANGE! $$$$|['freezing']|5.117|3.22
24|Give me clean, beautiful and healthy air - not the same old climate change (global warming) bullshit! I am tired of hearing this nonsense.|['me', 'beautiful', 'healthy', 'air', 'not', 'old', 'tired']|5.5387499999999985|5.785714285714286
25|The weather has been so cold for so long that the global warming HOAXSTERS were forced to change the name to climate change to keep $ flow!|['global', 'forced']|5.147826086956522|4.58
26|""" @MeleMallory : @realDonaldTrump You know it's actually called CLIMATE CHANGE, right? That's only because GLOBAL WARMING wasn't working!"|['know']|5.154285714285715|6.1
27|The con artists changed the name from GLOBAL WARMING to CLIMATE CHANGE when GLOBAL WARMING was no longer working and credibility was lost!|['con', 'artists', 'no']|5.004285714285714|4.666666666666667
28|The coolest story is that John Beale, the man who headed up CLIMATE CHANGE for the government, is a proven con man and total phoney.ARRESTED|['coolest', 'story', 'up', 'con']|5.440000000000001|5.775
29|Wow, just in-John Beale, the top person in government on climate change (EPA), is a total fraud, and just admitted it! What can they say now|['top']|5.52842105263158|6.76
30|"They call it "" climate change"" now because the words ""global warming"" didn't work anymore. Same people fighting hard to keep it all going!"|"['words', ""didn't"", 'people', 'fighting', 'all']"|5.17625|5.036
31|Wow, record setting cold temperatures throughout large parts of the country. Must be global warming, I mean climate change!|['large', 'global', 'mean']|5.279230769230769|5.246666666666666
32|The least number of hurricanes in the U.S. in decades. So they change global warming (too cold) to climate change-now what will they call it|['least', 'global', 'will']|5.350588235294118|5.34
33|They changed the name global warming to climate change because the concept of global warming just wasn't working!|['global', 'global']|5.357500000000001|6.0
34|Young entrepreneurs   in an economic climate like this only the strong survive. You can do it. Think Big!|[u'like', u'strong']|5.647272727272727|7.14
35|China loved Obama s climate change speech yesterday. They laughed! It hastens their takeover of us as the leading world economy.|[u'loved', u'us', u'leading', u'world']|5.704999999999999|6.845
36|Obama s speech on climate change was scary. It will lower our standard of living and raise costs of fuel & food for everyone.|[u'will', u'our', u'living', u'raise', u'costs', u'food']|5.475555555555555|6.126666666666668
37|""" @OldManConroy : It's called "" climate change"". No, they changed it to "" climate change"" when ""global warming"" wasn't working anymore-too cold!"|[]|5.268|
38|The Chinese talk of climate change and carbon footprint but don't clean up their factories-but they sell us the equipment to clean up ours!|"['talk', ""don't"", 'clean', 'up', 'us', 'clean', 'up']"|5.523157894736843|6.014285714285714
39|Wrong, used to be called global warming and when that name didn't work, they deftly changed it to climate change-because it's freezing!|"['global', ""didn't""]"|5.2152941176470575|5.0
40|Via @financialpost :   Climate changing for global warming journalists  by Lawrence Solomon (cont) http:// tl.gd/n_1rjq4rm|[u'global']|5.516|6.0
41|"Another freezing day in the Spring - what is going on with ""global warming""? Good move changing the name to "" climate change"" - sad!"|['freezing', 'day']|5.309333333333333|4.73
42|They changed the name from  global warming  to   climate change  after the term global warming just wasn t working (it was too cold)!|[u'global']|5.297333333333333|6.0
43|The World Bank is tying poverty to   climate change  http:// bit.ly/TMvjYe And we wonder why international organizations are ineffective.|[u'poverty', u'we', u'wonder', u'international']|5.366|5.5
44|In the 1950 s our climate was far more unstable than it has been over the last 5 years.|[u'our', u'more', u'last']|5.046153846153846|5.353333333333334
45|Every economic climate , whether an uptick or downturn, presents new opportunities and challenges.|['presents', 'new', 'opportunities']|5.844444444444445|7.16
46|To all struggling young entrepreneurs--stay positive in this tough climate and keep looking for good deals. They are out there.|['all', 'struggling', 'young', 'positive', 'tough', 'good']|5.54|5.786666666666666
47|Consumer spending is continuing to fall with weak June numbers. @BarackObama 's policies have created a climate (cont) http:// tl.gd/ikhgls|['weak', 'created']|5.133846153846154|4.449999999999999
48|Interesting -- studies show that wind farms have a warming effect on the climate|['studies', 'show', 'farms']|5.656666666666667|6.333333333333333
