|normal|cleaned_tweets|no_clean|cleaned_score
0|7. The badly flawed Paris Climate Agreement protects the polluters, hurts Americans, and cost a fortune. NOT ON MY WATCH! 8. I want crystal clean water and the cleanest and the purest air on the planet   we ve now got that!|[u'badly', u'hurts']|5.308000000000001|2.51
1|8 FACTS that #FakeNewsCNN will ignore in tonight s   Climate Forum |[]|4.92|
2|Plagiarism charge against Sleepy Joe Biden on his ridiculous Climate Change Plan is a big problem, but the Corrupt Media will save him. His other problem is that he is drawing flies, not people, to his Rallies. Nobody is showing up, I mean nobody. You can t win without people!|[u'problem', u'win']|5.108148148148148|5.55
3|Patrick Moore, co-founder of Greenpeace:  The whole climate crisis is not only Fake News, it s Fake Science. There is no climate crisis, there s weather and climate all around the world, and in fact carbon dioxide is the main building block of all life.  @foxandfriends Wow!|[u'crisis']|5.168148148148149|2.48
4|President Obama was terrible on @60Minutes tonight. He said CLIMATE CHANGE is the most important thing, not all of the current disasters!|['terrible']|5.127692307692308|2.84
5|Among the lowest temperatures EVER in much of the United States. Ice caps at record size. Changed name from GLOBAL WARMING to CLIMATE CHANGE|[]|5.160769230769231|
6|For those that constantly say that  global warming  is now   climate change they changed the name. The name global warming wasn t working|[]|5.39|
7|Obama s China   climate   deal binds America with language of  will  curb emissions now while China only  intends  to curb in 2030. Bad deal!|[]|5.428333333333335|
8|As ISIS and Ebola spread like wildfire, the Obama administration just submitted a paper on how to stop climate change (aka global warming).|['like']|5.4350000000000005|7.22
9|Great article on so-called climate change, formerly known as global warming. http:// bit.ly/1uDs1w3|[]|5.3125|
10|It's late in July and it is really cold outside in New York. Where the hell is GLOBAL WARMING??? We need some fast! It's now CLIMATE CHANGE|['hell']|4.925333333333333|2.22
11|Tremendous cold wave hits large part of U.S. Lucky they changed the name from global warming to climate change - G.W. just doesn't work!|[]|5.300000000000001|
12|""" @devhop : @realDonaldTrump they renamed it Climate Change so it could be devastating either way the temperature goes."""|[]|5.220000000000001|
13|They only changed the term to CLIMATE CHANGE when the words GLOBAL WARMING didn't work anymore. Come on people, get smart!|[]|5.131666666666668|
14|"The man made "" climate change"" that our ""great"" president should be focused on is of the NUCLEAR variety brought upon us because of weakness!"|[]|5.635789473684212|
15|Russia is on the move in the Ukraine, Iran is nuking up & Libya is run by Al Qaeda, yet Obama is busy issuing   climate change  warnings.|[]|5.275999999999999|
16|""" @shaneandstamp : @realDonaldTrump your a respected businessman. Why do you deny peoples knowledge about climate change. You mean GLOBAL W"|['respected', 'knowledge']|5.5600000000000005|7.21
17|Congrats to Charles @krauthammer for his statements on climate change, formerly known as global warming!|[]|5.389999999999999|
18|""" @Nospin_43 : @realDonaldTrump @tan123 climate change allows them to stay on the gravy train whatever happens."""|[]|5.503636363636364|
19|""" @Michael_KSC : @realDonaldTrump @thedropkicks Whether Global Warming or Climate change. The fact is We didn't cause it. We cannot change it."|[]|4.880000000000001|
