Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1123011529190793216	@Cutto1	2019-04-30 05:19:47	I feel sorry for you, Greta. You have allowed yourself to be brain washed by the collective. This isn't your fault of course, when you have been fed a constant menu of climate change rubbish. They should have let u be a child, rather than instil all this fear in you	0	Tweet
1123002149745639425	@AJOLinfo	2019-04-30 04:42:31	@ GretaThunberg http://www.ajol.info African research-sharing platform is vital for heterogenous climate change research sharing & micro to macro disease research & most of all.. 2nd largest continent on planet to be a recognized vital & huge component! We need visibility.	0	Tweet
1122969767101509632	@Cykelpendlare	2019-04-30 02:33:50	And New York Governor says "This country is in the middle of an economic transition and at the same time an environmental crisis. We have a climate change crisis, we see it all across this country, we see it all across the globe.” https://twitter.com/NYGovCuomo/status/1122895705595625474 …	0	Retweet
1122966748301414400	@dan_psyd	2019-04-30 02:21:51	I’m a psychologist interested in helping more people become climate change activists. Here are my ideas about 1) how to become an activist, & 2) if you are already active, how to increase your impact. https://medium.com/@danrubinpsyd/everyone-an-activist-25f68fe6d448 …	8	Tweet
1122959904451571712	@MalcolmMacKinn2	2019-04-30 01:54:39	A climate change emergency will never work, clowns and buffoons who jump on a bandwagon without any knowledge or expertise of the matter, even with advice from so called experts do not fully understand the complexities and complications involved and how Nature works.	0	Tweet
1122912002328997888	@kaimjansen	2019-04-29 22:44:18	@ GretaThunberg Dear Greta - I admire your courage! But I'd like to open a conversation with you & your 'minders' to explain to you how absolutely misguided you are in your assumption of man-made Climate Change. Follow me if you are open to receiving proof https://www.geoengineeringwatch.org/geoengineering-watch-our-most-comprehensive-climate-engineering-presentation/ …	0	Tweet
1122908276579086340	@johnbuckwheat	2019-04-29 22:29:30	There is no thing a human can do about climate change, but rob them (us) all thanks to # algore and the deal with # georgbush, robbers all 💰💵🌪️💵🤩😂🤣🖕	0	Tweet
1122901860740997122	@challinorreg	2019-04-29 22:04:00	Why here? Why not USA and other countries who are doing nothing regarding climate change. They are cancelling out everything. Greta would be best served dealing with them. We are already doing things.	0	Tweet
1122891637925933058	@dan_psyd	2019-04-29 21:23:23	I’m a psychologist interested in helping more people become climate change activists. Here are my ideas about 1) how to become an activist, & 2) if you are already active, how to increase your impact. https://medium.com/@danrubinpsyd/everyone-an-activist-25f68fe6d448 …	1	Tweet
1122881819626692608	@D_E_Kennedy	2019-04-29 20:44:22	So proud of Scotland and our First Minister @ NicolaSturgeon leading the way in combating climate change! # ClimateEmergency	0	Tweet
1122848212971335680	@autistic_empire	2019-04-29 18:30:50	@ GretaThunberg teaches the world much about both climate change and what it means to be autistic. https://loom.ly/L0E0jQI (photography by Harley Weir for i-D) # actuallyautisticpic.twitter.com/Yw1EjLGC3e	0	Tweet
1122833212567425025	@nickb2211	2019-04-29 17:31:13	@ GretaThunberg could lead the next crucial step in meeting the challenge of climate change - using her status to raise the funding for research to develop the low cost, low carbon solutions which are needed. https://www.ft.com/content/e1543d14-673f-11e9-9adc-98bf1d35a056 …	0	Tweet
1122815120176865280	@Horror1403	2019-04-29 16:19:20	With all respect. What would you have us do? Deindustrialise the world? The same tool that dragged more than 2 billion people out of poverty. Pollution such as plastic bottles in our seas is a man made issue. Let’s tackle that. Climate change? What’s your answer?	0	Tweet
1122812764517310464	@EthanTamaki	2019-04-29 16:09:58	Action without preparation is worse than no action at all. If going cold turkey on all man made assistance to climate change will only change the outcome by a minute fraction. (According to statistics) What is your solution?	0	Tweet
1122782316127039488	@JohnShoe22	2019-04-29 14:08:59	The big question is how to act. Fixing climate change isn't easy. It demands an honest debate. I'm disappointed that Greta's intervention hasn't been followed by that hard, factual debate.	0	Tweet
1122777643760390144	@MaCius72087340	2019-04-29 13:50:25	...of the world? Nah, she will just become another politician which will overheard by a 13yo climate activist in 20 years. The problem is you. Its only a deception. DON'T CHANGE THE CLIMATE CHANGE YOURSELF AND THE CLIMATE WILL CHANGE AUTOMATICALLY!	0	Tweet
1122777377770283009	@MaCius72087340	2019-04-29 13:49:21	Always the same..if you think that a 16 yo child will solve the problem where politician are voted for ...you are not awake and doing the same mistake over and over again. the problem isn't climate change the problem is you folks. Do you think that she will solve the problems...	0	Tweet
