Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1100879783821565954	@ahux68	2019-02-28 03:36:08	I really appreciate your engagement against climate change. You are motivating the young people to become political. This is really good. But please allow me one question... How do you realize all your travels? Are you travelling by plane and car? What about CO2 in your case?	0	Tweet
1100856403286200322	@brianypaul	2019-02-28 02:03:14	Great Stuff you brought and highlighted the crisis we are having with climate change around Europe and to the world and to young people your age.. Continued success ... Greta .	0	Tweet
1100847434610073600	@RoShamBoProds	2019-02-28 01:27:35	Hopefully you can give the American kids in the Sunrise movement some pointers for convincing Sen Feinstein that now is the time to declare human-made climate change a US national emergency & ammend her inaction to responding to this global threat appropriately! No war for oil!	1	Tweet
1100846451717038080	@Zwinak2020	2019-02-28 01:23:41	What solutions will you propose for students to stop climate change by changing their behavior. Action begins at home.	0	Tweet
1100816482072694791	@PaoloPanareo	2019-02-27 23:24:36	Hi everyone,i launched this petition on http://Change.org : Milano Cop26. I presented the candidacy of Milan to host the United Nations Climate Change Conference. http://chng.it/m8RDzPVZzw	0	Tweet
1100795395972780033	@secretlifefilms	2019-02-27 22:00:48	Wow! Feel completely humbled by this, which I know is not enough. A call to arms on climate change by just about the most impressive young women on the planet right now..	0	Tweet
1100775376169693184	@ETagliafichi	2019-02-27 20:41:15	Hi Greta, also in Bari (Italy) we'll support your fight against Climate Change	1	Tweet
1100768768077320192	@nico_rosberg	2019-02-27 20:15:00	@ GretaThunberg, you're an inspiration for fighting climate change. I'd like to invite you to speak at our Green Leaders Conference May 24, Berlin. You're nominated for the GREEN AWARDS, worlds leading sustainability awards. Previous winners: Prince Charles, Sir David Attenborough	3	Tweet
1100748230768427009	@carlitosmeola	2019-02-27 18:53:23	Climate change is now http://www.bamboogreenlife.it	0	Tweet
1100676487357874176	@the_ecofeminist	2019-02-27 14:08:18	It will be happening in Nigeria on March 15th...we are going to stand for our future. We can't stay calm until climate change is mitigated. # FridayForFutureNG	10	Tweet
1100456238981267459	@el__maarri	2019-02-26 23:33:07	"Climate change" is imperialistic lie!-Comrade Perincek	0	Tweet
1100441905429659648	@Halyenne	2019-02-26 22:36:10	Greta darling, how do you let yourself be manipulated so much? I take off the Climate Change Scam with three words: Plant trees and vegetation. It is not the planet that is threatened and at risk, we are the people.	0	Tweet
