Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1090710147180257286	@cvonruhland	2019-01-31 02:05:38	You are a brave soul speaking truth to power, but it is too late: climate change is already happening and will get worse.	0	Tweet
1090707231136452608	@woods_walk	2019-01-31 01:54:02	Greta, great work. Here in USA there are deep divisions in our society. The majority support initiatives to help reverse climate change and save our planet. But there are also very powerful corporations and politicians associated with them working only for greed & self enrichment	1	Tweet
1090637877904592896	@PerssonFritjof	2019-01-30 21:18:27	Greta Thunberg, an innocent girl press ganged into the horrible apprenticeship as a scum trainee by the international crime syndicate Climate Change.	0	Tweet
1090609864328531968	@tweetadamvictor	2019-01-30 19:27:08	@ GretaThunberg An idea came to me that is perhaps humanity's best chance at tackling climate change. I have no power to make it happen but with your voice and prominence, you do. It might just change the world. May I send you this idea? I ask for nothing in return.	0	Tweet
1090597252178026497	@DonaldEtler	2019-01-30 18:37:01	Young lady, you are not fully aware of the motivations of the people informing you. When I was your age they screamed global cooling will kill us. That switched to global warming and now climate change is dire. I fear this will cycle through your life until freedom is lost.	0	Tweet
1090573076033462272	@theonlyrealash	2019-01-30 17:00:57	@ GretaThunberg is right in her vision of our future unless we change. Scientists say we can still avoid crippling effects of climate change with immediate action. That requires immediate phaseout of dirty energy & eating no meat. I have turned vegetarian. Anyone care to join? Ash	0	Tweet
1090526247854039040	@Phillip87815913	2019-01-30 13:54:53	Hi Greta,the only thing that is strange is that governments aren’t doing anywhere near enough to tackle climate change and it takes ALL of us who are concerned to never take a step backwards.We only have one world,keep fighting Greta	0	Tweet
1090512178208272384	@Stellan75	2019-01-30 12:58:58	It is TIME, it is TIME to start calling the climate change what it is!!! This is the WORLD WAR 3 and we aldready know that we have at least 50-100 years ahead of us with struggle!	0	Tweet
1090510955904151552	@byvlstr	2019-01-30 12:54:07	Please continue. Your commitment adds a lot to a fast climate change impact mitigation hope 💪 # ClimateStrike # SchoolStrike4Climate	0	Tweet
1090500796574285824	@brucewilson	2019-01-30 12:13:45	I gave a guest church sermon about this almost 20 years ago. About kids leading the fight against climate change. I don't think people much liked it at the time.	0	Tweet
1090456648521379840	@CooperLorne	2019-01-30 09:18:19	@ GretaThunberg I've followed the global cooling/global warming/Climate change scene for 40 years. it is a scam to raise money. We are entering a 400 yr Grand Solar Minimum cycle of cooling. YOU are not aware as you were indoctrinated not educated. Sorry. https://twitter.com/GretaThunberg/status/1090247150276096002 …	0	Retweet
1090408831866220544	@BrijeshVerma9	2019-01-30 06:08:18	One request. You must post daily one tweet to aware every children about "abrupt climate change" and present situation around the world with reference so that that can be forwarded & shared easily since you are in touch of latest & authentic information. # EnergyPerspective @ UN	0	Tweet
1090402315784343552	@Nolanelle	2019-01-30 05:42:25	@ GretaThunberg U have been cheated in your educationBC global warming is a LIE. That is why the ruling elite changed the name to climate change to make it sound real againBT it’s still same old global warming data tht is false,fudged data fm its origin by 2 UKsci.who admitted it!	0	Tweet
1090367708762464256	@parry01070441	2019-01-30 03:24:54	@ GretaThunberg I think the impact of climate change is something we as a youth should care about。	0	Tweet
1090366435875057668	@Xomax1	2019-01-30 03:19:50	Great. Although everybody knows fact on climate change, too few are listening to experts seriously. But, it seems many people are listening your words. Pls. Go on.	0	Tweet
1090363699129331712	@ChrisMac1270	2019-01-30 03:08:58	Hello Greta. Here in Australia we have an election in the next few months. Our current Prime Minister (who brought a lump of coal into Parliament to ridicule climate change) is ignoring the death of our key river system, millions of fish died in just 3 weeks, photo to follow.1/2	1	Tweet
1090360925213872131	@DeepwaterPierat	2019-01-30 02:57:57	1st, relax. The old scientist picked the worst path for a climate change pattern they couId to advance a # TaxOnCapitalism, like there's many hurricane paths models. There's a formula using wind+baro.pressure+cloud type& past weather pattern A local weatherman taught us at school	0	Tweet
