Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1156310212996927489	@Tangomitteckel	2019-07-31 02:36:52	Don't go on the sail boat! The people indoctrinating you are evil. They may be planning on throwing you overboard to make you a martyr for climate change.	0	Tweet
1156230952374427648	@Ze_Abitbol	2019-07-30 21:21:55	Hi! We are very sensitive about climate change and will be glade to spend 2 weeks holiday in New York and also in California. After that trip will it be possible to borrow that boat and its crew to get me there ? Ps: all I can offer is a great time with a cool guy 😎	0	Tweet
1156214392716963841	@Patobato1	2019-07-30 20:16:07	@ GretaThunberg I see climate change, and having technology to combat it, governments continue to use fossil fuels. In my city we had never had 40 °. I support you. 👋from🇲🇽	0	Tweet
1156211599096651778	@jdwright67	2019-07-30 20:05:01	@ GretaThunberg Hi Greta, I'm a Producer with weather .com, we are following your planned sailing trip to the USA and wanted to see if you ever have time to talk, we would enjoy listening to your activism on Climate Change. Thank you for your time. Dan daniel.wright@weather.com	0	Tweet
1156209051811946496	@dernickmueller	2019-07-30 19:54:53	@ GretaThunberg There is way more important shit going on in this world than the climate, climate change is a thing humans cannot stop nor influnce. Climate change happend already millions of years ago when no humans where around...	0	Tweet
1156175514865848320	@CommonCents61	2019-07-30 17:41:38	You simple, ignorant, little girl. The changing paths of orbits of the solar system is the overwhelming cause of climate change. Planets many times larger than ours have had many catastrophic events over the millions of years without any human habitation. Speak with an astronomer	0	Tweet
1156149091207995392	@AdamSrigley	2019-07-30 15:56:38	@ GretaThunberg @ Fridays4future @ FFF_Sweden @ Malena_Ernman @ Svante_Thunberg @ FFF_Sweden "The terrible truth of climate change." Joëlle Gergis is an award-winning climate scientist and she contributes to the upcoming IPCC report. https://www.themonthly.com.au/issue/2019/august/1566136800/jo-lle-gergis/terrible-truth-climate-change …	0	Tweet
1156140506717593601	@AdamSrigley	2019-07-30 15:22:31	@ GretaThunberg @ Malena_Ernman @ Svante_Thunberg @FRIDAYSFORFUTURE The terrible truth of climate change. Joëlle Gergis is an award-winning climate scientist writing on the comming IPCC report. https://www.themonthly.com.au/issue/2019/august/1566136800/jo-lle-gergis/terrible-truth-climate-change …	0	Tweet
1156139307964469248	@HenryHumphries	2019-07-30 15:17:45	I’m so sorry to read that you left your home without a T-shirt! Hopefully you weren’t uncovered for too long. At least the climate change kept you warm enough. Or maybe you can spin the story and say that the heat was the reason you forgot to dress properly. *sarcasm off*	0	Tweet
1156138187846311936	@AdamGosling4	2019-07-30 15:13:18	I'd like to thank Greta. For the first time today, Trump is now odds-on with all bookies to be re-elected. I believe this is in no small part thanks to her putting the fake "climate change" agenda as the lead issue for Democratic Presidential candidates. Please, keep it up 👍	0	Tweet
1156136371721052160	@_pedrovsky	2019-07-30 15:06:05	Greta, it would mean a great deal if you could extend your trip and visit a few Central and South American countries as well. Some of the greatest environmental struggles are fought by our indigenous peoples, and tropical regions are set to be much affected by climate change.	0	Tweet
1156120691508305920	@DavidLennonFre1	2019-07-30 14:03:47	Climate change is fake, not real. Stop listening to this kid, she is telling kids to skip class so they can protest about fake climate change.	0	Tweet
1156116943998455809	@Ptrck66563198	2019-07-30 13:48:53	Talk to me about climate change when you have a degree in climatology and have 5 years+ field experience, I mean really weres your evidence.... Hmmm Where's your paper, thesis whatever... I feel sorry for you.. Your being used and exploited by the politicians and climate groups..	0	Tweet
1156109470348410880	@JackRya03440050	2019-07-30 13:19:11	Good news? Simply proves you are a grandstanding climate alarmist hypocrit who doesn't practice what she preaches! Lucky your carbon footprint won't any difference to climate change and global warming or cooling. Climate involves much greater forces than man's influence.	0	Tweet
1155982743215300608	@redurs73	2019-07-30 04:55:37	Keep speaking up and pushing the conversation about Climate Change with facts. I admire your passion and boldness. Awareness will aid in holding everyone accountable! The other women in this Vogue issue should be just as honored to be in your company.💞👏🏽🗣	0	Tweet
1155974294624600066	@nickmyer	2019-07-30 04:22:03	What a shock you're supporting the UN & its agenda. Who would have thought. Anyway..always worth noting Greta that boat rides don't save Earth from the New World Order's "Climate Change" scam agenda that is fueled by Weather Warfare( inc Heatwaves)& Electromagnetic Wave Warfare. pic.twitter.com/JTywETdycH	5	Tweet
1155962597977423876	@MargieAt5	2019-07-30 03:35:34	Greta, you are a child. The future will come soon enough and you need to prepare yourself - not for climate change but for the criticism you will get for having fooled so many people. The earth will still be here doing what it does and you and your followers will feel stupid.	0	Tweet
1155960710901276673	@EliahGutierrez	2019-07-30 03:28:04	You can wear whatever u want,u can have whatever political view. When a cloth is more important than climate facts,something is very wrong.Climate change is about EVERYONE on Earth and is what brainless people like Vox will never understand.We need u!! 🇪🇸	0	Tweet
1155916214855786498	@Magnetron00	2019-07-30 00:31:16	Climate change is not because of humanity, climate change is a thing that is going on on earth for millions of years, we are just starting to go in a new age.. please little girl, don't let these activist polute your brain. I hope you will see the truth when you educate yourself	0	Tweet
1155910331073552390	@HelmutE6	2019-07-30 00:07:53	”Greta Thunberg” a great product for someone that wants to use Greta to earn money on climate change! # freegretathunberg # climate # GretaThunberg # climatechange # fake # fakenews # product # someoneelseisbehindthis # gotoschool # stopbothering # stayinschool	0	Tweet
1155904652392747011	@jdeanknight	2019-07-29 23:45:19	A great opportunity to influence the world of fashion, I hope you can do that. Climate change is a consequence of inequality and greed, I hope the wealthy readers of @ vogue @ voguemagazine @ BritishVogue will hear.	0	Tweet
1155887646994051073	@GemUmesh	2019-07-29 22:37:45	@ GretaThunberg first time in history I guess..my city is getting alternate day water supply..as there is no enough rain..Climate Change at doorstep..I m spreading awareness on social media amongst the friends..and talking it about with common people..	0	Tweet
1155886928178401280	@iwannago_higher	2019-07-29 22:34:53	And yet some idiots will still argue that there is no climate change, and that burning fossil fuels is okay. So stupid and dangerous!	0	Tweet
1155861909951975424	@worldcitizen1st	2019-07-29 20:55:28	In realistic terms: Concrete&coordinate actions among individuals, communities, cities and 🌎countries, relate to the protection of the environment maybe....can count with the impact necessary to curb the temperatures link to climate change.	0	Tweet
1155851578651414528	@1rolf_heinemann	2019-07-29 20:14:25	Please leave ALL electronic devices such as cell phone, laptop etc. at home. And remember avoiding the use of ANY other electrical appliances as these will contribute to the so called climate change. God speed	1	Tweet
1155839888694136832	@FerranR3	2019-07-29 19:27:58	That's the definition of accelerating climate change. This natural disaster is, at the same time, an effect and a cause of climate change ...which will invariably cause many more natural disasters in the future.	0	Tweet
