Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1145118217955872768	@nickmyer	2019-06-30 05:23:53	Lies dressed up as facts are 'contagious' too Greta. Especially to the easily impressionable. There is no "Climate Change" threat Greta. All the heatwaves and flooding are caused by long established methodologies used for Weather Warfare Operations. WAKE UP! LOOK UP BE AWARE! pic.twitter.com/bXpRRk26IB	6	Tweet
1145108992009654272	@ryanfisher122	2019-06-30 04:47:13	Your plan will not save the world. There is ways to deter "climate change", but Socialism and unenvironmental measures are not going to cut it.	0	Tweet
1145089598378389504	@fjblanco79	2019-06-30 03:30:09	@ GretaThunberg Climate change? 🔥 pic.twitter.com/KK4NOFSfbh	0	Tweet
1145087202659045378	@Persianlady22	2019-06-30 03:20:38	You are young. The left preys on the young to convince them there is climate change, socialism is good. Take it from an old woman. They are lying to you. Please research or you generation has little hope.	0	Tweet
1145050534803574787	@Blue_Lightn1ng	2019-06-30 00:54:56	@ GretaThunberg many people in our house have honoured you in our Climate-Change-Protest Sports day Parade! I hope you like it, You’re a huge inspiration to both I and the rest of the planet! Im proud to join in the fight to save it! pic.twitter.com/gVqiKO90nb	0	Tweet
1145040294829858816	@EigenesD	2019-06-30 00:14:14	from a distance : Is Climate Change an Issue ? https://www.bloomberg.com/news/features/2019-06-26/here-s-how-climate-change-is-viewed-around-the-world …	0	Tweet
1145012373226446848	@cubancapitalist	2019-06-29 22:23:17	Climate Change Hoax	0	Tweet
1145011806802497536	@nes_pia	2019-06-29 22:21:02	@ GretaThunberg You’re holding multiple pieces of paper, I see? YOU are contributing to climate change and deforestestation, HYPOCRITE! pic.twitter.com/Desl7Xsvdl	0	Tweet
1145006578921291776	@mediablitzx3	2019-06-29 22:00:16	Nobody is chastising you for age but for substance, you have climate change and the illegals as your top priority. You sent 20,000 jobs away. Take some ownership.	0	Tweet
1144992038951276544	@KathyWh63759793	2019-06-29 21:02:29	Girls, you can make yourselves feel better, feel empowered, but the climate change feel-good thing goes NOWHERE until 1) scientists create other alternative energy sources (unless you want all nuclear), 2) you get China and India to agree to your plan. The rest is silly talk.	0	Tweet
